blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,LATITUDE,LONGITUDE
1,BEACH RD,16,1970,Y,Y,N,N,N,N,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,1 BEACH RD,1,BEACH ROAD,BEACH ROAD GARDENS,1 BEACH ROAD BEACH ROAD GARDENS SINGAPORE 190001,190001,1.3036713506088,103.864478660925
1,BEDOK STH AVE 1,14,1975,Y,N,N,Y,N,N,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,1 BEDOK STH AVE 1,1,BEDOK SOUTH AVENUE 1,NIL,1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001,460001,1.32085208689731,103.933721091441
1,CHAI CHEE RD,15,1982,Y,N,N,N,N,N,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,1 CHAI CHEE RD,1,CHANGI VILLAGE ROAD,NIL,1 CHANGI VILLAGE ROAD SINGAPORE 500001,500001,1.38854656229022,103.987804503483
1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,N,N,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,1 CHANGI VILLAGE RD,1,DELTA AVENUE,NIL,1 DELTA AVENUE SINGAPORE 160001,160001,1.2920752508431,103.828584077626
1,DELTA AVE,25,1982,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,1 DELTA AVE,1,DOVER ROAD,DOVER COMMUNITY CENTRE,1 DOVER ROAD DOVER COMMUNITY CENTRE SINGAPORE 130001,130001,1.3025299473495,103.783271662459
1,DOVER RD,12,1975,Y,N,N,Y,N,N,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,1 DOVER RD,1,EVERTON PARK,EVERTON PARK,1 EVERTON PARK EVERTON PARK SINGAPORE 081001,081001,1.27742654288695,103.840001188095
1,EVERTON PK,12,1980,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PK,1,HAIG ROAD,HAIG VIEW,1 HAIG ROAD HAIG VIEW SINGAPORE 430001,430001,1.31129091152627,103.897703432652
1,GHIM MOH RD,15,1975,Y,N,N,Y,N,N,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,1 GHIM MOH RD,1,JALAN BUKIT MERAH,DBS NTUC JALAN BUKIT MERAH/1,1 JALAN BUKIT MERAH DBS NTUC JALAN BUKIT MERAH/1 SINGAPORE 150001,150001,1.28647148628638,103.808275089948
1,HAIG RD,15,1976,Y,N,N,Y,N,N,GL,219,0,0,214,0,5,0,0,0,0,0,0,0,1 HAIG RD,1,KAMPONG KAYU ROAD,DI TANJONG RHU,1 KAMPONG KAYU ROAD DI TANJONG RHU SINGAPORE 431001,431001,1.30355769675629,103.883796413118
1,HOUGANG AVE 3,14,1974,Y,N,N,Y,N,N,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,1 HOUGANG AVE 3,1,LORONG LEW LIAN,NIL,1 LORONG LEW LIAN SINGAPORE 531001,531001,1.35086712646948,103.875343939672
1,JLN BT MERAH,14,1974,Y,Y,N,N,N,N,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,1 JLN BT MERAH,1,MARSILING DRIVE,MARSILING SPRING,1 MARSILING DRIVE MARSILING SPRING SINGAPORE 730001,730001,1.44067109860246,103.775739945213
1,KG KAYU RD,10,1963,Y,N,N,N,N,N,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,1 KG KAYU RD,1,QUEEN'S ROAD,FARRER GARDENS,1 QUEEN'S ROAD FARRER GARDENS SINGAPORE 260001,260001,1.31726629524359,103.806782877524
1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,N,N,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,1 LOR 7 TOA PAYOH,1,SAINT GEORGE'S ROAD,NIL,1 SAINT GEORGE'S ROAD SINGAPORE 320001,320001,1.32340263694069,103.86163080083
1,LOR LEW LIAN,14,1977,Y,N,N,Y,N,N,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,1 LOR LEW LIAN,1,TECK WHYE AVENUE,TECK WHYE HEIGHTS I,1 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680001,680001,1.38253882861956,103.751710905678
1,MARINE TER,25,1974,Y,Y,N,N,N,N,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,1 MARINE TER,1,TELOK BLANGAH CRESCENT,MOUNT FABER GREEN,1 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090001,090001,1.27945660077329,103.817897561986
